Participant,Mean Accuracy,Dataset
P124,0.18000000000000002,Standardized
P119,0.19,Standardized
P111,0.20625000000000002,Standardized
P126,0.2078571428571429,Standardized
P123,0.20900000000000002,Standardized
P132,0.2205,Standardized
P114,0.22444444444444445,Standardized
P105,0.22583333333333336,Standardized
P116,0.272,Standardized
P104,0.28250000000000003,Standardized
P118,0.15666666666666668,User-Defined
P114,0.16166666666666668,User-Defined
P116,0.17250000000000001,User-Defined
P108,0.17333333333333334,User-Defined
P102,0.17333333333333334,User-Defined
P109,0.1757142857142857,User-Defined
P111,0.18000000000000002,User-Defined
P004,0.18166666666666664,User-Defined
P122,0.185,User-Defined
P110,0.18777777777777774,User-Defined
P011,0.18888888888888888,User-Defined
P119,0.19,User-Defined
P103,0.19166666666666665,User-Defined
P008,0.19666666666666666,User-Defined
P105,0.19666666666666666,User-Defined
P124,0.19916666666666666,User-Defined
P107,0.20083333333333334,User-Defined
P125,0.20166666666666666,User-Defined
P128,0.202,User-Defined
P127,0.2033333333333333,User-Defined
P115,0.20333333333333334,User-Defined
P126,0.20500000000000002,User-Defined
P005,0.2072222222222222,User-Defined
P121,0.20733333333333331,User-Defined
P006,0.21222222222222223,User-Defined
P104,0.22333333333333333,User-Defined
P123,0.22416666666666668,User-Defined
P112,0.25666666666666665,User-Defined
P132,0.26,User-Defined
